Menu Item,Item Type,Item Temp,Wheat,Gluten,Milk,Egg,Soy,Peanuts,Tree Nuts,Fish,Shellfish,Sesame,Mustard,Sulphites,Food chain,Barley,Oat,Rye,Triticale
Brownie RMHC Cookie,,Hot,X,,X,X,X,,,,,,,,McD,,,,
"Cappuccino with 2% milk
- Large",Hot Beverages,Hot,,,X,,,,,,,,,,McD,,,,
"Cappuccino with 2% milk
- Medium",Hot Beverages,Hot,,,X,,,,,,,,,,McD,,,,
"Cappuccino with 2% milk
- Small",Hot Beverages,Hot,,,X,,,,,,,,,,McD,,,,
Cappuccino with skim milk - Large,Hot Beverages,Hot,,,X,,,,,,,,,,McD,,,,
Cappuccino with skim milk - Medium,Hot Beverages,Hot,,,X,,,,,,,,,,McD,,,,
Cappuccino with skim milk - Small,Hot Beverages,Hot,,,X,,,,,,,,,,McD,,,,
Caramel Apple Oat Muffin,,Hot,X,,X,X,X,,,,,,,,McD,,X,,
Caramel Cappuccino with 2% milk - Large,Hot Beverages,Hot,,,X,,X,,,,,,,,McD,,,,
Caramel Cappuccino with 2% milk - Medium,Hot Beverages,Hot,,,X,,X,,,,,,,,McD,,,,
Caramel Cappuccino with 2% milk - Small,Hot Beverages,Hot,,,X,,X,,,,,,,,McD,,,,
Caramel Cappuccino with skim milk - Large,Hot Beverages,Hot,,,X,,X,,,,,,,,McD,,,,
Caramel Cappuccino with skim milk - Medium,Hot Beverages,Hot,,,X,,X,,,,,,,,McD,,,,
Caramel Cappuccino with skim milk - Small,Hot Beverages,Hot,,,X,,X,,,,,,,,McD,,,,
Caramel Iced Coffee - Large,Cold Beverages,Cold,,,X,,X,,,,,,,,McD,,,,
Caramel Iced Coffee - Medium,Cold Beverages,Cold,,,X,,X,,,,,,,,McD,,,,
Caramel Iced Coffee - Small,Cold Beverages,Cold,,,X,,X,,,,,,,,McD,,,,
Caramel Latte with 2% milk - Large,Hot Beverages,Hot,,,X,,X,,,,,,,,McD,,,,
Caramel Latte with 2% milk - Medium,Hot Beverages,Hot,,,X,,X,,,,,,,,McD,,,,
Caramel Latte with 2% milk - Small,Hot Beverages,Hot,,,X,,X,,,,,,,,McD,,,,
Caramel Latte with skim milk - Large,Hot Beverages,Hot,,,X,,X,,,,,,,,McD,,,,
Caramel Latte with skim milk - Medium,Hot Beverages,Hot,,,X,,X,,,,,,,,McD,,,,
Caramel Latte with skim milk - Small,Hot Beverages,Hot,,,X,,X,,,,,,,,McD,,,,
"Caramel Pumpkin Spice Latte, 2% Milk - Large",Hot Beverages,Hot,,,X,,,,,,,,,,McD,,,,
"Caramel Pumpkin Spice Latte, 2% Milk - Medium",Hot Beverages,Hot,,,X,,,,,,,,,,McD,,,,
"Caramel Pumpkin Spice Latte, 2% Milk - Small",Hot Beverages,Hot,,,X,,,,,,,,,,McD,,,,
"Caramel Pumpkin Spice Latte, Skim Milk - Large",Hot Beverages,Hot,,,X,,,,,,,,,,McD,,,,
"Caramel Pumpkin Spice Latte, Skim Milk - Medium",Hot Beverages,Hot,,,X,,,,,,,,,,McD,,,,
"Caramel Pumpkin Spice Latte, Skim Milk - Small",Hot Beverages,Hot,,,X,,,,,,,,,,McD,,,,
Carrot Muffin,Baked Items,Hot,X,,X,X,X,,,,,,,,McD,,,,
Chewy Oatmeal Carame RMHC Cookie,Baked Items,Hot,X,,X,X,X,,o,,,,,,McD,X,X,,
Chocolate Caramel RMHC Cookie,Baked Items,Hot,X,,X,X,X,,,,,,,,McD,X,,,
Chocolate Chunk Brownie,Baked Items,Hot,,,X,X,X,,o,,,,,,McD,,,,
Chocolate Chunk RMHC Cookie,Baked Items,Hot,X,,X,X,X,,,,,,,,McD,X,,,
Chocolate Hazelnut Croissant,Baked Items,Hot,X,,X,X,X,,X,,,,,,McD,,,o,
Coffee Iced Frappé - Large,Cold Beverages,Cold,,,X,,,,,,,,,,McD,,,,
Coffee Iced Frappé - Medium,Cold Beverages,Cold,,,X,,,,,,,,,,McD,,,,
Coffee Iced Frappé - Small,Cold Beverages,Cold,,,X,,,,,,,,,,McD,,,,
Coffee Iced Frappé - Snack Size,Cold Beverages,Cold,,,X,,,,,,,,,,McD,,,,
Deluoe Hot Chocolate with 2% milk - Large,Hot Beverages,Hot,,,o,,X,,,,,,,,McD,,,,
Deluoe Hot Chocolate with 2% milk - Medium,Hot Beverages,Hot,,,o,,X,,,,,,,,McD,,,,
Deluoe Hot Chocolate with 2% milk - Small,Hot Beverages,Hot,,,o,,X,,,,,,,,McD,,,,
Deluoe Hot Chocolate with skim milk - Large,Hot Beverages,Hot,,,o,,X,,,,,,,,McD,,,,
Deluoe Hot Chocolate with skim milk - Medium,Hot Beverages,Hot,,,o,,X,,,,,,,,McD,,,,
Deluoe Hot Chocolate with skim milk - Small,Hot Beverages,Hot,,,o,,X,,,,,,,,McD,,,,
Double Espresso,Hot Beverages,Hot,,,,,,,,,,,,,McD,,,,
Espresso,Hot Beverages,Hot,,,,,,,,,,,,,McD,,,,
Freestone Peach Danish,Hot Beverages,Hot,X,,X,X,o,,,,,,,,McD,,,,
"French Vanilla Cappuccino with 2% milk
- Large",Hot Beverages,Hot,,,X,,X,,,,,,,,McD,,,,
"French Vanilla Cappuccino with 2% milk
- Medium",Hot Beverages,Hot,,,X,,X,,,,,,,,McD,,,,
"French Vanilla Cappuccino with 2% milk
- Small",Hot Beverages,Hot,,,X,,X,,,,,,,,McD,,,,
French Vanilla Cappuccino with skim milk - Large,Hot Beverages,Hot,,,X,,X,,,,,,,,McD,,,,
French Vanilla Cappuccino with skim milk - Medium,Hot Beverages,Hot,,,X,,X,,,,,,,,McD,,,,
French Vanilla Cappuccino with skim milk - Small,Hot Beverages,Hot,,,X,,X,,,,,,,,McD,,,,
French Vanilla Iced Coffee - Large,Hot Beverages,Hot,,,X,,X,,,,,,,,McD,,,,
French Vanilla Iced Coffee - Medium,Hot Beverages,Hot,,,X,,X,,,,,,,,McD,,,,
French Vanilla Iced Coffee - Small,Hot Beverages,Hot,,,X,,X,,,,,,,,McD,,,,
French Vanilla Latte with 2% milk - Large,Hot Beverages,Hot,,,X,,X,,,,,,,,McD,,,,
French Vanilla Latte with 2% milk - Medium,Hot Beverages,Hot,,,X,,X,,,,,,,,McD,,,,
French Vanilla Latte with 2% milk - Small,Hot Beverages,Hot,,,X,,X,,,,,,,,McD,,,,
French Vanilla Latte with skim milk - Large,Hot Beverages,Hot,,,X,,X,,,,,,,,McD,,,,
French Vanilla Latte with skim milk - Medium,Hot Beverages,Hot,,,X,,X,,,,,,,,McD,,,,
French Vanilla Latte with skim milk - Small,Baked Items,Hot,,,X,,X,,,,,,,,McD,,,,
Fruit and Fibre Muffin,Hot Beverages,Hot,X,,X,X,X,,,,,,,,McD,,,,
Latte with 2% milk - Large,Hot Beverages,Hot,,,X,,,,,,,,,,McD,,,,
Latte with 2% milk - Medium,Hot Beverages,Hot,,,X,,,,,,,,,,McD,,,,
Latte with 2% milk - Small,Hot Beverages,Hot,,,X,,,,,,,,,,McD,,,,
Latte with skim milk - Large,Hot Beverages,Hot,,,X,,,,,,,,,,McD,,,,
Latte with skim milk - Medium,Hot Beverages,Hot,,,X,,,,,,,,,,McD,,,,
Latte with skim milk - Small,Hot Beverages,Hot,,,X,,,,,,,,,,McD,,,,
LiI'Gem RMHC Cookie,Baked Items,Hot,X,,X,X,X,,,,,,,,McD,X,X,,
Mango Pineapple Protein Smoothie - Medium,,Cold,,,X,,,,,,,,,,McD,,,,
Mango Pineapple  Protein Smoothie - Small,,Cold,,,X,,,,,,,,,,McD,,,,
Mango Pineapple Real Fruit Smoothie with yogurt - Large,,Cold,,,X,,,,,,,,,,McD,,,,
Mango Pineapple Real Fruit Smoothie with yogurt - Medium,,Cold,,,X,,,,,,,,,,McD,,,,
Mango Pineapple Real Fruit Smoothie with yogurt - Small,,Cold,,,X,,,,,,,,,,McD,,,,
Mango Pineapple Real Fruit Smoothie with yogurt - Snack Size,,Cold,,,X,,,,,,,,,,McD,,,,
Mango Pineapple Real Fruit Smoothie without yogurt - Large,,Cold,,,,,,,,,,,,,McD,,,,
Mango Pineapple Real Fruit Smoothie without yogurt - Medium,,Cold,,,,,,,,,,,,,McD,,,,
Mango Pineapple Real Fruit Smoothie without yogurt - Small,,Cold,,,,,,,,,,,,,McD,,,,
