Menu Items,Per Serve Size,Energy (kCal),Total fat (g),Sat Fat (g),Trans fat (g),Cholesterols (mg),Sodium (mg),Total carbohydrate (g),Dietary Fiber (g),Total Sugars (g),Added Sugars (g),Protein (g),Food chain,Menu Category,Calories from Fat,Total Fat (% Daily Value),Saturated Fat (% Daily Value),Cholesterol (% Daily Value),Sodium (% Daily Value),Carbohydrates (% Daily Value),Dietary Fiber (% Daily Value),Vitamin A (% Daily Value),Vitamin C (% Daily Value),Calcium (% Daily Value),Iron (% Daily Value)
Black Forest Ham,135,160,3,1,0,10,410,28,3,4,,9,SUBWAY,Snacks & Sides,,,,,,,,,,,
Turkey Breast,141,170,3,1,0,20,440,27,3,4,,10,SUBWAY,Snacks & Sides,,,,,,,,,,,
Veggie Delite®,108,140,2,0,0,0,210,26,3,3,,5,SUBWAY,Snacks & Sides,,,,,,,,,,,
Crispy Chicken Sidekick (includes Smoky Honey Mustard),124,250,8,1,0,40,540,32,2,5,,13,SUBWAY,Regular Menu,,,,,,,,,,,
Honey Mustard Ham Sidekick,124,190,7,2,0,35,610,24,1,5,,8,SUBWAY,Regular Menu,,,,,,,,,,,
Italian Aioli Sidekick (includes Garlic Aioli and Sub Sauce),105,280,17,5,0,45,840,23,2,5,,9,SUBWAY,Regular Menu,,,,,,,,,,,
Savoury Ranch Turkey Sidekick,109,190,7,2,0,40,550,23,2,4,,9,SUBWAY,Regular Menu,,,,,,,,,,,
Spicy Crispy Chicken Sidekick (includes Creamy Sriracha)**,124,240,7,1,0,35,590,32,2,4,,13,SUBWAY,Regular Menu,,,,,,,,,,,
Spicy Ranch Crispy Chicken Sidekick,129,270,10,2,0,40,580,32,2,4,,13,SUBWAY,Regular Menu,,,,,,,,,,,
Black Forest Ham,341,110,3,1,0,20,480,13,4,5,,10,SUBWAY,Regular Menu,,,,,,,,,,,
Grilled Chicken,351,110,2,1,0,30,410,10,5,5,,14,SUBWAY,Regular Menu,,,,,,,,,,,
Sweet Onion Chicken Teriyaki,408,220,3,1,0,50,610,30,4,20,,18,SUBWAY,Regular Menu,,,,,,,,,,,
Turkey Breast,342,110,3,1,0,30,450,12,4,5,,11,SUBWAY,Regular Menu,,,,,,,,,,,
Veggie Delite®,287,50,1,0,0,0,75,9,4,5,,3,SUBWAY,Regular Menu,,,,,,,,,,,
Chicken Bacon & Peppercorn Ranch,410,410,28,8,0,85,830,13,4,6,,28,SUBWAY,Regular Menu,,,,,,,,,,,
Cold Cut Combo,351,240,17,6,0,35,620,12,5,5,,12,SUBWAY,Regular Menu,,,,,,,,,,,
Crispy Chicken (includes Smoky Honey Mustard),442,400,18,4,0,55,980,35,5,8,,25,SUBWAY,Regular Menu,,,,,,,,,,,
Green Goddess Veggie (includes Smashed Avocado),345,210,17,3,0,10,480,14,6,6,,4,SUBWAY,Regular Menu,,,,,,,,,,,
Italian B.M.T.®,341,220,15,5,0,40,930,12,4,6,,12,SUBWAY,Regular Menu,,,,,,,,,,,
Meatball Marinara,429,310,17,7,1,45,870,22,6,9,,20,SUBWAY,Regular Menu,,,,,,,,,,,
Pizza Sub Melt,362,270,19,8,0,40,1190,15,5,8,,13,SUBWAY,Regular Menu,,,,,,,,,,,
Steak & Cheese,370,200,9,4,0,50,810,13,4,7,,19,SUBWAY,Regular Menu,,,,,,,,,,,
Tuna (includes Mayonnaise),358,280,21,4,0,40,380,10,4,5,,14,SUBWAY,Regular Menu,,,,,,,,,,,
B.L.T.,317,200,12,5,0,30,620,11,4,5,,14,SUBWAY,Regular Menu,,,,,,,,,,,
Roast Beef,344,110,3,1,0,20,480,12,4,5,,12,SUBWAY,Regular Menu,,,,,,,,,,,
Spicy Crispy Chicken (includes Creamy Sriracha),442,360,15,4,0,50,1100,34,5,7,,25,SUBWAY,Regular Menu,,,,,,,,,,,
Subway Club,359,130,4,1,0,30,580,13,4,6,,13,SUBWAY,Regular Menu,,,,,,,,,,,
Tuna Salad (includes Light Mayonnaise Type Dressing),358,190,11,2,0,50,440,12,4,5,,14,SUBWAY,Regular Menu,,,,,,,,,,,
Turkey Bacon Avocado,387,230,13,4,0,40,760,15,6,6,,15,SUBWAY,Regular Menu,,,,,,,,,,,
Veggie Patty,372,220,10,1,0,0,390,26,12,7,,9,SUBWAY,Regular Menu,,,,,,,,,,,
Crispy Chicken Bacon Peppercorn Ranch Rice Bowl,434,810,35,9,0,80,1420,91,6,5,,34,SUBWAY,Regular Menu,,,,,,,,,,,
Green Goddess Veggie Rice Bowl,367,690,40,8,0,25,1250,73,7,5,,12,SUBWAY,Regular Menu,,,,,,,,,,,
Southwest Steak & Avocado Rice Bowl,399,620,26,7,1,55,1390,73,7,5,,25,SUBWAY,Regular Menu,,,,,,,,,,,
Sweet Onion Chicken Teriyaki Rice Bowl,375,470,6,2,0,50,950,82,5,14,,23,SUBWAY,Regular Menu,,,,,,,,,,,
Crispy Chicken Bacon Peppercorn Ranch Rice Wrap,465,930,33,8,0,70,1750,119,7,6,,40,SUBWAY,Regular Menu,,,,,,,,,,,
Green Goddess Veggie Rice Wrap,384,760,33,7,0,20,1390,100,8,5,,18,SUBWAY,Regular Menu,,,,,,,,,,,
Southwest Steak & Avocado Rice Wrap,445,820,32,8,1,55,1820,102,8,7,,31,SUBWAY,Regular Menu,,,,,,,,,,,
Sweet Onion Chicken Teriyaki Rice Wrap,406,640,12,2,0,50,1320,105,6,10,,28,SUBWAY,Regular Menu,,,,,,,,,,,
Egg & Bacon English Muffin,158,340,18,5,0,237,790,27,2,2,,17,SUBWAY,Regular Menu,,,,,,,,,,,
Egg & Cheese English Muffin,153,310,16,5,0,230,700,26,2,2,,16,SUBWAY,Regular Menu,,,,,,,,,,,
Egg & Ham English Muffin,162,320,16,5,0,235,770,27,2,3,,17,SUBWAY,Regular Menu,,,,,,,,,,,
Egg & Sausage English Muffin,182,410,25,8,0,250,900,27,2,3,,19,SUBWAY,Regular Menu,,,,,,,,,,,
Egg & Bacon,227,500,31,8,0,255,1100,39,2,4,,22,SUBWAY,Breakfast,,,,,,,,,,,
Egg & Cheese,217,450,27,7,0,240,920,39,2,4,,18,SUBWAY,Breakfast,,,,,,,,,,,
Egg & Ham,244,480,28,7,0,250,1120,41,2,5,,21,SUBWAY,Breakfast,,,,,,,,,,,
Egg & Sausage,274,650,45,13,0,280,1320,40,2,5,,25,SUBWAY,Breakfast,,,,,,,,,,,
Egg & Bacon,264,640,37,8,0,255,1330,55,3,4,,23,SUBWAY,Regular Menu,,,,,,,,,,,
Egg & Cheese,254,590,33,7,0,240,1150,55,3,4,,19,SUBWAY,Regular Menu,,,,,,,,,,,
Egg & Ham,281,620,34,7,0,250,1350,57,3,5,,23,SUBWAY,Regular Menu,,,,,,,,,,,
Egg & Sausage,311,790,51,13,0,280,1540,56,3,5,,27,SUBWAY,Regular Menu,,,,,,,,,,,
Egg & Bacon Sidekick,135,350,23,5,0,270,680,23,2,4,,14,SUBWAY,Regular Menu,,,,,,,,,,,
Egg & Cheese Sidekick,130,330,21,5,0,265,590,23,2,4,,12,SUBWAY,Regular Menu,,,,,,,,,,,
Egg & Ham Sidekick,135,330,21,5,0,270,620,23,2,4,,13,SUBWAY,Regular Menu,,,,,,,,,,,
Egg & Sausage Sidekick,158,430,30,8,0,285,780,23,2,4,,16,SUBWAY,Regular Menu,,,,,,,,,,,
